,City,Country,Lat,Lng,Temp,Humidity %,Cloundiness %,Wind Speed%
111,te anau,countryName,-45.41,,44.48,74,91,15.17
112,mogadishu,countryName,2.04,,80.6,69,75,18.34
113,yar-sale,countryName,66.83,,81.92,38,0,12.84
114,saskylakh,countryName,71.97,,55.64,46,53,2.28
115,dahod,countryName,22.84,,88.58,63,75,13.15
116,linares,countryName,-35.85,,40.16,92,9,3.33
117,kruisfontein,countryName,-34.0,,54.74,61,54,6.08
118,korem,countryName,12.51,,71.3,38,81,8.68
119,nuuk,countryName,64.17,,39.2,93,4,12.75
120,san quintin,countryName,17.54,,86.42,70,100,11.68
121,ancud,countryName,-41.87,,41.0,100,90,8.05
122,kavieng,countryName,-2.57,,83.0,77,29,11.45
123,savannakhet,countryName,16.57,,75.2,100,75,6.93
124,mahebourg,countryName,-20.41,,69.91,94,75,3.36
125,kargil,countryName,34.56,,59.96,23,0,1.41
126,bonthe,countryName,7.53,,77.06,89,80,4.72
127,bandarbeyla,countryName,9.49,,88.94,34,89,30.89
128,matara,countryName,-3.48,,58.52,64,0,3.74
129,bathsheba,countryName,13.22,,80.6,74,20,16.11
130,saint george,countryName,39.45,,76.82,64,0,1.97
131,khatanga,countryName,71.98,,60.86,47,100,9.06
132,tessalit,countryName,20.2,,88.4,35,37,20.27
133,ribeira grande,countryName,38.52,,69.14,91,2,8.25
134,castro,countryName,-42.48,,41.0,100,90,8.05
135,port augusta,countryName,-32.49,,60.89,72,1,9.17
136,hualmay,countryName,-11.1,,62.48,84,82,18.95
137,road town,countryName,18.42,,79.05,78,1,4.7
138,pombas,countryName,-15.9,,65.36,55,0,3.89
139,avarua,countryName,-21.21,,71.6,64,33,18.34
140,alta floresta,countryName,-9.87,,67.88,72,0,1.21
141,carnarvon,countryName,-30.97,,40.7,55,0,5.08
142,severo-kurilsk,countryName,50.68,,43.22,97,100,8.43
143,aswan,countryName,24.09,,89.6,22,0,4.7
144,rio gallegos,countryName,-51.62,,28.4,100,75,2.24
145,krasnoarmeysk,countryName,56.12,,62.2,82,40,13.42
146,omsukchan,countryName,62.53,,68.78,38,97,12.88
147,evensk,countryName,61.92,,50.42,86,95,11.74
148,eskilstuna,countryName,59.37,,54.63,71,76,5.82
149,dodge city,countryName,37.75,,71.53,73,90,6.93
150,tilichiki,countryName,60.47,,59.06,63,59,11.63
151,jumla,countryName,29.28,,76.16,44,5,6.67
152,normandin,countryName,48.84,,62.6,67,20,8.05
153,new norfolk,countryName,-42.78,,53.91,58,75,5.82
154,chiusi,countryName,43.02,,72.73,77,0,5.82
155,orotukan,countryName,62.26,,74.36,36,72,17.47
156,kailua,countryName,21.39,,78.94,83,75,6.93
157,airai,countryName,-8.93,,85.88,48,87,3.6
158,mar del plata,countryName,-46.43,,30.98,90,99,10.98
159,yakeshi,countryName,49.28,,80.66,34,34,6.71
160,iqaluit,countryName,63.75,,39.09,80,20,11.43
161,pyapon,countryName,16.29,,83.0,79,98,9.71
162,nikolskoye,countryName,59.7,,62.62,77,75,8.95
163,ponta do sol,countryName,-20.63,,59.6,65,10,3.69
164,qaanaaq,countryName,77.48,,43.58,54,0,5.06
165,the valley,countryName,18.22,,80.87,74,20,9.17
166,aitape,countryName,-3.15,,81.56,80,94,6.42
167,tasiilaq,countryName,65.61,,41.24,76,100,13.2
168,tura,countryName,64.27,,72.56,23,34,8.37
169,khurda,countryName,20.18,,89.6,75,75,5.82
170,ahipara,countryName,-35.17,,62.3,87,78,12.84
171,san jose,countryName,14.25,,75.2,78,1,4.7
172,chumikan,countryName,54.72,,65.9,62,88,7.31
173,palmas bellas,countryName,9.23,,78.01,84,90,9.15
